frame,class_id,class_name,x_center,y_center,width,height
0,6,abstrak,0.073768,0.130729,0.117484,0.136677
0,10,adiwarna,0.41644,0.132865,0.10712,0.092083
0,1,granitan,0.748805,0.094948,0.049661,0.023854
0,1,granitan,0.841458,0.150625,0.042813,0.028958
0,3,kembang cengkih,0.739799,0.479068,0.080922,0.07051
0,3,kembang cengkih,0.882299,0.491987,0.068141,0.072922
0,4,kambil sicukil,0.479453,0.488294,0.064427,0.043786
0,2,jung agung,0.067398,0.492555,0.064755,0.087047
0,13,kupi,0.40682,0.804638,0.084599,0.08563
0,6,abstrak,0.224258,0.160109,0.113911,0.125896
0,10,adiwarna,0.542003,0.172698,0.09712,0.079135
0,2,jung agung,0.202076,0.456883,0.107911,0.069568
0,4,kambil sicukil,0.476659,0.487443,0.093526,0.075531
0,13,kupi,0.552797,0.852555,0.087531,0.081536
1,6,abstrak,0.07375,0.130651,0.117479,0.136542
1,10,adiwarna,0.41644,0.13288,0.10713,0.092115
1,1,granitan,0.748789,0.094826,0.049661,0.023755
1,1,granitan,0.841451,0.150781,0.042745,0.028844
1,3,kembang cengkih,0.739872,0.47907,0.080901,0.070516
1,3,kembang cengkih,0.882185,0.491828,0.067839,0.072719
1,4,kambil sicukil,0.479195,0.488875,0.065516,0.044437
1,2,jung agung,0.067737,0.492768,0.064755,0.087047
1,13,kupi,0.406997,0.8045,0.084922,0.085604
1,6,abstrak,0.224258,0.160109,0.113911,0.125896
1,10,adiwarna,0.542003,0.172698,0.09712,0.079135
1,2,jung agung,0.202076,0.457302,0.107911,0.069562
1,4,kambil sicukil,0.476659,0.487635,0.093526,0.075531
1,13,kupi,0.552797,0.852555,0.087531,0.081536
2,6,abstrak,0.073732,0.130573,0.117484,0.136406
2,10,adiwarna,0.416437,0.132896,0.107135,0.092156
2,1,granitan,0.748773,0.094706,0.049661,0.023661
2,1,granitan,0.841445,0.15094,0.042672,0.028734
2,3,kembang cengkih,0.739948,0.479073,0.080885,0.070521
2,3,kembang cengkih,0.882073,0.491669,0.067542,0.072516
2,4,kambil sicukil,0.47894,0.489456,0.066609,0.045089
2,2,jung agung,0.068076,0.492982,0.064755,0.087047
2,13,kupi,0.40718,0.804362,0.085245,0.085578
2,6,abstrak,0.224258,0.160109,0.113911,0.125896
2,10,adiwarna,0.542003,0.172698,0.09712,0.079135
2,2,jung agung,0.202076,0.457721,0.107911,0.069568
2,4,kambil sicukil,0.476659,0.487823,0.093526,0.075531
2,13,kupi,0.552797,0.852555,0.087531,0.081536
3,6,abstrak,0.073714,0.130497,0.117479,0.136266
3,10,adiwarna,0.416435,0.132911,0.107141,0.092188
3,1,granitan,0.748758,0.094586,0.049661,0.023557
3,1,granitan,0.841443,0.151096,0.042604,0.02862
3,3,kembang cengkih,0.740023,0.479076,0.080859,0.070526
3,3,kembang cengkih,0.881958,0.49151,0.06724,0.072313
3,4,kambil sicukil,0.478682,0.490036,0.067698,0.04574
3,2,jung agung,0.068414,0.493193,0.064755,0.087052
3,13,kupi,0.407362,0.804224,0.085568,0.085552
3,6,abstrak,0.224258,0.160109,0.113911,0.125896
