epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.319,4.06807,8.54396,3.12839,0,0,0,0,4.77404,8.52709,3.8443,0.07426,0.00026,0.00026
2,180.775,2.69115,4.09433,2.19729,0.05704,0.03571,0.0499,0.03523,2.67022,8.79111,2.37714,0.0475038,0.000503765,0.000503765
3,242.29,2.27465,2.6387,2.0277,0.12329,0.36551,0.32343,0.22662,2.30177,7.03561,2.16682,0.0207208,0.0007208,0.0007208
4,305.206,2.18986,2.2565,1.98306,0.59623,0.45649,0.63481,0.4736,1.9804,4.28711,2.01506,0.0008515,0.0008515,0.0008515
5,359.944,2.01438,1.8858,1.91791,0.88928,0.41469,0.79749,0.59999,1.984,2.92699,2.02073,0.000802,0.000802,0.000802
6,417.178,1.8977,1.68636,1.88744,0.79834,0.67819,0.89779,0.68019,1.79084,1.88181,1.94568,0.0007525,0.0007525,0.0007525
7,478.496,1.83482,1.58942,1.88631,0.79517,0.79834,0.91248,0.71206,1.67105,1.54907,1.9022,0.000703,0.000703,0.000703
8,530.487,1.71993,1.4541,1.85422,0.84937,0.82445,0.91288,0.71789,1.65121,1.34195,1.90819,0.0006535,0.0006535,0.0006535
9,586.922,1.70882,1.39303,1.83012,0.76345,0.83134,0.91221,0.72321,1.58599,1.41034,1.88603,0.000604,0.000604,0.000604
10,647.944,1.63343,1.32492,1.8203,0.86077,0.83793,0.93625,0.73756,1.58779,1.18874,1.89443,0.0005545,0.0005545,0.0005545
11,703.416,1.51872,1.25941,1.83169,0.89569,0.8715,0.93912,0.75849,1.49204,1.10796,1.87361,0.000505,0.000505,0.000505
12,750.114,1.4695,1.1676,1.81731,0.87771,0.87016,0.94279,0.77754,1.44268,1.0543,1.84763,0.0004555,0.0004555,0.0004555
13,796.582,1.41872,1.10352,1.79665,0.87602,0.88671,0.94358,0.77332,1.43417,1.00473,1.83538,0.000406,0.000406,0.000406
14,843.306,1.35183,1.05537,1.77751,0.90588,0.89236,0.95786,0.7947,1.29698,0.96251,1.8011,0.0003565,0.0003565,0.0003565
15,891.393,1.31002,1.02198,1.77202,0.89829,0.87392,0.94927,0.79851,1.23553,0.93929,1.77965,0.000307,0.000307,0.000307
16,938.308,1.27002,0.99503,1.76186,0.91887,0.87878,0.95824,0.79447,1.32922,0.953,1.81113,0.0002575,0.0002575,0.0002575
17,985.824,1.26024,0.97686,1.7571,0.90203,0.88243,0.96123,0.81328,1.23355,0.90681,1.78697,0.000208,0.000208,0.000208
18,1031.58,1.1975,0.9367,1.73967,0.91051,0.86491,0.95647,0.83351,1.09636,0.87708,1.74917,0.0001585,0.0001585,0.0001585
19,1077.22,1.15403,0.92581,1.73246,0.93496,0.87347,0.9637,0.83649,1.13271,0.84484,1.76173,0.000109,0.000109,0.000109
20,1124.46,1.13479,0.89788,1.72466,0.86336,0.90329,0.96741,0.84333,1.08249,0.84711,1.74321,5.95e-05,5.95e-05,5.95e-05
